2024-11-02 11:42:02,742 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:43:06,180 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:44:29,311 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:45:11,285 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:46:28,991 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:48:14,751 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:49:38,841 - ERROR - Erro na análise do arquivo automacao_organiza_projeto_restaura_backup_v1.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:49:49,261 - ERROR - Erro na análise do arquivo backup_projeto.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:51:16,059 - ERROR - Erro ao processar automacao_organiza_projeto_restaura_backup_v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,063 - ERROR - Erro ao processar backup_projeto.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,065 - ERROR - Erro ao processar banco_tokens.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,067 - ERROR - Erro ao processar contador_tokens_menu.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,069 - ERROR - Erro ao processar documentacao-projeto-automation-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,072 - ERROR - Erro ao processar documentacao-projeto-automation-v2-gemini-powered.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,074 - ERROR - Erro ao processar gerador-dic-texto-yaml-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,076 - ERROR - Erro ao processar gerador_vetorizador_continuo.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,079 - ERROR - Erro ao processar gerador_yaml_embeddings-prompt-v2.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,081 - ERROR - Erro ao processar gerador_yaml_embeddings.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,083 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-contexto.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,085 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-lista-palavras.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,088 - ERROR - Erro ao processar limpar_duplicados_avancado.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,090 - ERROR - Erro ao processar remover_duplicados.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,093 - ERROR - Erro ao processar restaurar_backup.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,095 - ERROR - Erro ao processar restaura_backup_versionado.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,097 - ERROR - Erro ao processar testa-banco-vetor-ele.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,099 - ERROR - Erro ao processar yaml-parser-vector-database-increment-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,101 - ERROR - Erro ao processar yaml_to_vectors.py: write() argument must be str, not coroutine
2024-11-02 11:51:16,103 - ERROR - Erro ao processar zipar_yamls.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,354 - ERROR - Erro ao processar automacao_organiza_projeto_restaura_backup_v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,358 - ERROR - Erro ao processar backup_projeto.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,360 - ERROR - Erro ao processar banco_tokens.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,362 - ERROR - Erro ao processar contador_tokens_menu.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,365 - ERROR - Erro ao processar documentacao-projeto-automation-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,368 - ERROR - Erro ao processar documentacao-projeto-automation-v2-gemini-powered.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,370 - ERROR - Erro ao processar gerador-dic-texto-yaml-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,373 - ERROR - Erro ao processar gerador_vetorizador_continuo.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,375 - ERROR - Erro ao processar gerador_yaml_embeddings-prompt-v2.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,378 - ERROR - Erro ao processar gerador_yaml_embeddings.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,380 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-contexto.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,384 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-lista-palavras.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,386 - ERROR - Erro ao processar limpar_duplicados_avancado.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,390 - ERROR - Erro ao processar remover_duplicados.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,392 - ERROR - Erro ao processar restaurar_backup.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,394 - ERROR - Erro ao processar restaura_backup_versionado.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,397 - ERROR - Erro ao processar testa-banco-vetor-ele.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,401 - ERROR - Erro ao processar yaml-parser-vector-database-increment-v1.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,403 - ERROR - Erro ao processar yaml_to_vectors.py: write() argument must be str, not coroutine
2024-11-02 11:51:58,407 - ERROR - Erro ao processar zipar_yamls.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,196 - ERROR - Erro ao processar automacao_organiza_projeto_restaura_backup_v1.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,200 - ERROR - Erro ao processar backup_projeto.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,202 - ERROR - Erro ao processar banco_tokens.py: write() argument must be str, not coroutine
